name,domain,exchanges,listings,exchange_list
"Infolinks, Inc.",infolinks.com,23,34,appnexus.com aps.amazon.com conversantmedia.com freewheel.tv improvedigital.com indexexchange.com inmobi.com lijit.com loopme.com media.net nativo.com onetag.com openx.com pubmatic.com risecodes.com rubiconproject.com sharethrough.com smaato.com smartadserver.com themediagrid.com triplelift.com video.unrulymedia.com xandr.com
Publisher Collective (Snigel),network-n.com,23,37,adyoulike.com amxrtb.com appnexus.com aps.amazon.com conversantmedia.com gumgum.com indexexchange.com inmobi.com kargo.com lijit.com media.net onetag.com openx.com pubmatic.com risecodes.com rubiconproject.com seedtag.com sharethrough.com smartadserver.com themediagrid.com triplelift.com video.unrulymedia.com xandr.com
AdApex,adapex.io,22,47,adyoulike.com amxrtb.com aps.amazon.com connatix.com conversantmedia.com gumgum.com improvedigital.com indexexchange.com inmobi.com lijit.com loopme.com media.net nativo.com onetag.com pubmatic.com risecodes.com rubiconproject.com seedtag.com sharethrough.com teads.tv triplelift.com video.unrulymedia.com
Aditude,aditude.io,22,35,amxrtb.com appnexus.com aps.amazon.com indexexchange.com inmobi.com kargo.com loopme.com media.net ogury.com onetag.com openx.com pubmatic.com risecodes.com rubiconproject.com sharethrough.com smaato.com smartadserver.com themediagrid.com triplelift.com undertone.com video.unrulymedia.com xandr.com
Admetricspro [TAM],admetricspro.com,22,88,adyoulike.com amxrtb.com appnexus.com aps.amazon.com connatix.com conversantmedia.com gumgum.com indexexchange.com lijit.com media.net nativo.com openx.com pubmatic.com risecodes.com rubiconproject.com seedtag.com sharethrough.com smartadserver.com themediagrid.com triplelift.com video.unrulymedia.com xandr.com
Google AdExchange,google.com,22,19641,appnexus.com connatix.com improvedigital.com indexexchange.com inmobi.com lijit.com loopme.com media.net onetag.com openx.com pubmatic.com risecodes.com rubiconproject.com sharethrough.com smaato.com smartadserver.com themediagrid.com triplelift.com video.unrulymedia.com xandr.com yahoo.com yieldmo.com
M.D. PRIMIS TECHNOLOGIES LTD,primis.tech,22,39,adform.com amxrtb.com appnexus.com blis.com conversantmedia.com freewheel.tv indexexchange.com inmobi.com lijit.com loopme.com media.net nativo.com openx.com pubmatic.com rubiconproject.com sharethrough.com smartadserver.com triplelift.com video.unrulymedia.com xandr.com yahoo.com yieldmo.com
Minute Media,minutemedia.com,22,38,adyoulike.com amxrtb.com appnexus.com aps.amazon.com conversantmedia.com freewheel.tv inmobi.com lijit.com loopme.com media.net onetag.com openx.com pubmatic.com rubiconproject.com seedtag.com sharethrough.com smartadserver.com themediagrid.com triplelift.com video.unrulymedia.com xandr.com yieldmo.com
Playdigo Inc,playdigo.com,22,28,adform.com adyoulike.com appnexus.com conversantmedia.com freewheel.tv improvedigital.com inmobi.com lijit.com loopme.com media.net ogury.com onetag.com pubmatic.com rubiconproject.com sharethrough.com smaato.com smartadserver.com themediagrid.com triplelift.com undertone.com video.unrulymedia.com xandr.com
PublisherDesk,publisherdesk.com,22,38,amxrtb.com appnexus.com aps.amazon.com blis.com indexexchange.com inmobi.com lijit.com media.net nativo.com ogury.com onetag.com pubmatic.com risecodes.com rubiconproject.com seedtag.com sharethrough.com smartadserver.com teads.tv themediagrid.com triplelift.com video.unrulymedia.com xandr.com
